Date,Month,Year,Holidays_Count,Days,Area,AQI,full_date
1,1,2024,0,0,Alipur,320.0,2024-01-01
1,1,2024,0,0,Narela,338.0,2024-01-01
1,1,2024,0,0,Okhla Phase-2,364.0,2024-01-01
1,1,2024,0,0,ITO,344.0,2024-01-01
1,1,2024,0,0,Punjabi Bagh,390.0,2024-01-01
1,1,2024,0,0,Dr. Karni Singh Shooting Range,366.0,2024-01-01
1,1,2024,0,0,R K Puram,380.0,2024-01-01
1,1,2024,0,0,Sri Aurobindo Marg,383.0,2024-01-01
1,1,2024,0,0,Bawana,360.0,2024-01-01
1,1,2024,0,0,North Campus DU,222.0,2024-01-01
2,1,2024,0,1,Alipur,308.0,2024-01-02
2,1,2024,0,1,Narela,341.0,2024-01-02
2,1,2024,0,1,ITO,336.0,2024-01-02
2,1,2024,0,1,Punjabi Bagh,367.0,2024-01-02
2,1,2024,0,1,Bawana,353.0,2024-01-02
2,1,2024,0,1,Okhla Phase-2,373.0,2024-01-02
2,1,2024,0,1,Dr. Karni Singh Shooting Range,374.0,2024-01-02
2,1,2024,0,1,R K Puram,373.0,2024-01-02
2,1,2024,0,1,Sri Aurobindo Marg,367.0,2024-01-02
3,1,2024,0,2,Dr. Karni Singh Shooting Range,354.0,2024-01-03
3,1,2024,0,2,Alipur,294.0,2024-01-03
3,1,2024,0,2,Narela,339.0,2024-01-03
3,1,2024,0,2,ITO,336.0,2024-01-03
3,1,2024,0,2,Punjabi Bagh,368.0,2024-01-03
3,1,2024,0,2,R K Puram,368.0,2024-01-03
3,1,2024,0,2,Sri Aurobindo Marg,343.0,2024-01-03
3,1,2024,0,2,Okhla Phase-2,365.0,2024-01-03
3,1,2024,0,2,Bawana,350.0,2024-01-03
4,1,2024,0,3,Sri Aurobindo Marg,376.0,2024-01-04
4,1,2024,0,3,Alipur,357.0,2024-01-04
4,1,2024,0,3,North Campus DU,370.0,2024-01-04
4,1,2024,0,3,Okhla Phase-2,397.0,2024-01-04
4,1,2024,0,3,Dr. Karni Singh Shooting Range,391.0,2024-01-04
4,1,2024,0,3,R K Puram,395.0,2024-01-04
4,1,2024,0,3,Narela,375.0,2024-01-04
4,1,2024,0,3,Punjabi Bagh,409.0,2024-01-04
4,1,2024,0,3,Bawana,371.0,2024-01-04
4,1,2024,0,3,ITO,386.0,2024-01-04
5,1,2024,0,4,Narela,296.0,2024-01-05
5,1,2024,0,4,Alipur,281.0,2024-01-05
5,1,2024,0,4,R K Puram,369.0,2024-01-05
5,1,2024,0,4,Okhla Phase-2,360.0,2024-01-05
5,1,2024,0,4,Sri Aurobindo Marg,355.0,2024-01-05
5,1,2024,0,4,ITO,272.0,2024-01-05
5,1,2024,0,4,Punjabi Bagh,370.0,2024-01-05
5,1,2024,0,4,Bawana,316.0,2024-01-05
5,1,2024,0,4,Dr. Karni Singh Shooting Range,351.0,2024-01-05
6,1,2024,0,5,Bawana,319.0,2024-01-06
6,1,2024,0,5,Punjabi Bagh,345.0,2024-01-06
6,1,2024,0,5,Sri Aurobindo Marg,346.0,2024-01-06
6,1,2024,0,5,Okhla Phase-2,346.0,2024-01-06
6,1,2024,0,5,Dr. Karni Singh Shooting Range,348.0,2024-01-06
6,1,2024,0,5,Alipur,302.0,2024-01-06
6,1,2024,0,5,Narela,325.0,2024-01-06
6,1,2024,0,5,R K Puram,350.0,2024-01-06
6,1,2024,0,5,ITO,254.0,2024-01-06
7,1,2024,0,6,Dr. Karni Singh Shooting Range,349.0,2024-01-07
7,1,2024,0,6,Bawana,344.0,2024-01-07
7,1,2024,0,6,Alipur,342.0,2024-01-07
7,1,2024,0,6,Sri Aurobindo Marg,335.0,2024-01-07
7,1,2024,0,6,Okhla Phase-2,363.0,2024-01-07
7,1,2024,0,6,Narela,369.0,2024-01-07
7,1,2024,0,6,North Campus DU,346.0,2024-01-07
